sy_dist,st_spectype,sy_vmag,st_teff
50.6706,G,8.24,5746.0
64.3399,G,7.34,5897.32
17.9055,G,6.074,5726.0
17.9055,G,6.074,5726.0
19.7638,K,7.67,5052.0
12.7141,K,7.46,4610.0
62.7146,G,7.3,5360.0
16.0069,G,5.738,5552.0
16.0069,G,5.738,5549.0
54.4738,G,7.78,5656.0
148.187,F,8.76,5988.0
65.6668,K,8.09,6010.0
53.6089,G,8.97,5348.0
53.6089,G,8.97,5348.0
53.6089,G,8.97,5348.0
53.6089,G,8.97,5348.0
53.6089,G,8.97,5348.0
53.6089,G,8.97,5348.0
19.6359,K,7.79,4976.0
8.79687,K,5.73,5166.0
8.79687,K,5.73,5166.0
71.8627,G,6.45591,5041.0
80.2349,G,8.99,5861.32
37.6681,G,6.87591,5751.0
50.6742,G,7.5,5879.0
39.9346,G,6.51,6017.0
265.155,K,6.55594,4263.0
34.1692,F,6.39677,6254.0
33.1944,F,6.82294,6150.0
24.3056,G,6.98,5796.02
22.5242,F,5.06345,6188.0
41.8316,G,8.39,5494.0
41.8316,G,8.39,5494.0
72.5922,G,6.48605,4982.0
72.5922,G,6.48605,4982.0
45.9665,G,8.08,5766.0
188.546,K,8.23,5040.0
188.546,K,8.23,5040.0
161.498,G,8.324,6272.0
39.2503,G,8.45,5603.0
63.6796,G,8.76,5596.0
61.7477,G,4.28,5174.32
61.7477,G,4.28,5174.32
85.6922,G,9.0,5945.0
47.7945,G,7.99,5767.0
47.7945,G,7.99,5776.0
47.7945,G,7.99,5767.0
28.7165,K,8.45,5026.0
86.6159,G,7.84,6133.55
92.5087,F,8.56,6176.0
75.2363,G,7.62,5635.0
147.192,K,8.34,4842.0
40.7583,F,6.68804,6500.0
40.7583,F,6.68804,6500.0
23.606,K,8.23,4819.0
35.9715,K,8.48,5256.0
35.9715,K,8.48,5256.0
35.9715,K,8.48,5256.0
35.9715,K,8.48,5256.0
35.9864,G,7.36,5782.13
58.9291,G,8.78,5726.0
58.9291,G,8.78,5710.0
28.2938,K,8.37,5106.0
6.00278,G,4.26,5401.0
6.00278,G,4.26,5401.0
6.00278,G,4.26,5401.0
6.00278,G,4.26,5401.0
45.147,G,7.47,6067.0
